#Timestamp (LOCAL_TIME),TT66.BTV.660524:SCREEN
2016-08-16 22:45:52.051,10239.00
2016-08-16 22:45:53.051,11500.00
2016-08-16 22:47:36.129,11947.00
2016-08-16 22:47:37.130,13830.00
2016-08-16 22:47:38.131,15661.00
2016-08-16 22:47:39.131,16000.00
2016-08-16 22:49:09.198,16387.00
2016-08-16 22:49:10.199,18244.00
2016-08-16 22:49:11.200,20208.00
2016-08-16 22:49:12.200,22171.00
2016-08-16 22:49:13.201,23400.00
2016-08-16 22:50:53.276,24613.00
2016-08-16 22:50:54.276,26577.00
2016-08-16 22:50:55.277,28540.00
2016-08-16 22:50:56.278,30504.00
2016-08-16 22:50:57.279,32344.00
2016-08-16 22:50:58.279,32700.00
2016-08-16 22:52:32.350,33976.00
2016-08-16 22:52:33.351,35940.00
2016-08-16 22:52:34.351,37904.00
2016-08-16 22:52:35.352,39867.00
2016-08-16 22:52:36.353,41831.00
2016-08-16 22:52:37.354,43795.00
2016-08-16 22:52:38.354,45758.00
2016-08-16 22:52:39.355,47722.00
2016-08-16 22:52:40.356,49673.00
2016-08-16 22:52:41.357,50400.00
2016-08-16 22:54:17.429,48485.00
2016-08-16 22:54:18.429,46521.00
2016-08-16 22:54:19.430,44557.00
2016-08-16 22:54:20.431,42594.00
2016-08-16 22:54:21.431,40630.00
2016-08-16 22:54:22.432,38667.00
2016-08-16 22:54:23.433,36703.00
2016-08-16 22:54:24.434,34739.00
2016-08-16 22:54:25.434,32776.00
2016-08-16 22:54:26.435,30812.00
2016-08-16 22:54:27.436,28849.00
2016-08-16 22:54:28.437,26885.00
2016-08-16 22:54:29.437,24922.00
2016-08-16 22:54:30.438,22958.00
2016-08-16 22:54:31.439,20994.00
2016-08-16 22:54:32.440,19031.00
2016-08-16 22:54:33.440,17067.00
2016-08-16 22:54:34.441,15104.00
2016-08-16 22:54:35.442,13140.00
2016-08-16 22:54:36.442,11177.00
2016-08-16 22:54:37.443,9213.00
2016-08-16 22:54:38.444,7249.00
2016-08-16 22:54:39.445,5286.00
2016-08-16 22:54:40.445,3322.00
2016-08-16 22:54:41.446,1359.00
2016-08-16 22:54:42.447,0.00
2016-08-16 22:58:26.615,1285.00
2016-08-16 22:58:27.616,3248.00
2016-08-16 22:58:28.617,5212.00
2016-08-16 22:58:29.617,7176.00
2016-08-16 22:58:30.618,8500.00
2016-08-16 23:12:08.233,8780.00
2016-08-16 23:12:09.233,10574.00
2016-08-16 23:12:10.234,11500.00
2016-08-16 23:17:43.485,12346.00
2016-08-16 23:17:44.485,14308.00
2016-08-16 23:17:45.486,15907.00
2016-08-16 23:23:21.739,16430.00
2016-08-16 23:23:22.740,18306.00
2016-08-16 23:23:23.740,20269.00
2016-08-16 23:23:24.741,22233.00
2016-08-16 23:23:25.742,23400.00
2016-08-16 23:28:53.990,23773.00
2016-08-16 23:28:54.991,25622.00
2016-08-16 23:28:55.992,27586.00
2016-08-16 23:28:56.992,29549.00
2016-08-16 23:28:57.993,31513.00
2016-08-16 23:28:58.994,32700.00
2016-08-16 23:34:37.249,33569.00
2016-08-16 23:34:38.249,35532.00
2016-08-16 23:34:39.250,37495.00
2016-08-16 23:34:40.251,39459.00
